age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
36.0,68.0,1.75,M,21.0975,86.53333333333333,10.0,38.38333333333333,105.0,5.0,19.016666666666666,21.0
35.0,68.0,1.75,M,21.0975,89.55,10.0,38.03333333333333,85.0,5.0,18.683333333333334,168.0
47.0,86.0,1.86,M,21.0975,148.26666666666668,10.0,40.516666666666666,34.0,5.0,20.25,139.0
43.0,86.0,1.86,M,21.0975,95.46666666666667,10.0,44.46666666666667,147.0,5.0,20.2,121.0
22.0,71.0,1.81,M,21.0975,106.23333333333333,10.0,41.0,77.0,5.0,19.633333333333333,105.0
50.0,75.0,1.78,M,21.0975,94.76666666666667,10.0,41.833333333333336,28.0,5.0,20.0,14.0
49.0,75.0,1.78,M,21.0975,96.9,10.0,40.233333333333334,56.0,5.0,20.05,141.0
48.0,75.0,1.78,M,21.0975,92.41666666666667,10.0,41.0,168.0,5.0,19.783333333333335,162.0
47.0,75.0,1.78,M,21.0975,93.56666666666666,10.0,41.4,7.0,5.0,18.75,7.0
45.0,75.0,1.78,M,21.0975,105.23333333333333,10.0,41.666666666666664,119.0,5.0,19.883333333333333,113.0
43.0,75.0,1.78,M,21.0975,99.65,10.0,41.88333333333333,14.0,5.0,17.383333333333333,178.0
42.0,75.0,1.78,M,21.0975,89.88333333333334,10.0,40.15,42.0,5.0,19.033333333333335,36.0
41.0,75.0,1.78,M,21.0975,91.31666666666666,10.0,39.4,99.0,5.0,19.4,71.0
41.0,75.0,1.78,M,21.0975,92.71666666666667,10.0,39.93333333333333,27.0,5.0,19.716666666666665,28.0
40.0,67.0,1.83,M,21.0975,67.41666666666667,10.0,30.733333333333334,14.0,5.0,14.933333333333334,35.0
39.0,67.0,1.83,M,21.0975,68.1,10.0,30.983333333333334,28.0,5.0,14.833333333333334,49.0
24.0,58.0,1.73,M,21.0975,74.73333333333333,10.0,34.516666666666666,123.0,5.0,16.883333333333333,147.0
23.0,58.0,1.73,M,21.0975,77.45,10.0,34.983333333333334,84.0,5.0,17.15,78.0
41.0,84.0,1.9,M,21.0975,82.51666666666667,10.0,36.65,85.0,5.0,18.316666666666666,28.0
27.0,58.0,1.68,M,21.0975,74.88333333333334,10.0,34.333333333333336,21.0,5.0,15.65,100.0
31.0,67.0,1.81,M,21.0975,89.16666666666667,10.0,37.766666666666666,48.0,5.0,17.516666666666666,98.0
27.0,67.0,1.81,M,21.0975,81.31666666666666,10.0,37.96666666666667,105.0,5.0,17.216666666666665,98.0
26.0,67.0,1.81,M,21.0975,79.73333333333333,10.0,36.15,63.0,5.0,16.7,38.0
26.0,67.0,1.81,M,21.0975,86.53333333333333,10.0,37.18333333333333,7.0,5.0,17.733333333333334,98.0
25.0,67.0,1.81,M,21.0975,81.55,10.0,37.36666666666667,119.0,5.0,16.116666666666667,38.0
24.0,67.0,1.81,M,21.0975,108.21666666666667,10.0,36.78333333333333,105.0,5.0,17.6,45.0
23.0,67.0,1.81,M,21.0975,88.83333333333333,10.0,36.96666666666667,112.0,5.0,18.383333333333333,85.0
44.0,45.0,1.57,F,21.0975,83.2,10.0,37.93333333333333,28.0,5.0,18.5,121.0
39.0,57.0,1.73,M,21.0975,89.61666666666666,10.0,33.21666666666667,84.0,5.0,15.816666666666666,22.0
57.0,71.0,1.85,M,21.0975,98.38333333333334,10.0,44.266666666666666,133.0,5.0,21.483333333333334,155.0
56.0,70.0,1.78,M,21.0975,85.86666666666666,10.0,38.46666666666667,126.0,5.0,17.633333333333333,155.0
44.0,65.0,1.8,M,21.0975,78.91666666666667,10.0,35.5,154.0,5.0,16.85,106.0
39.0,65.0,1.8,M,21.0975,90.16666666666667,10.0,36.766666666666666,161.0,5.0,17.566666666666666,99.0
35.0,64.0,1.82,M,21.0975,71.81666666666666,10.0,32.63333333333333,162.0,5.0,15.633333333333333,140.0
24.0,67.0,1.74,M,21.0975,81.03333333333333,10.0,35.266666666666666,168.0,5.0,17.033333333333335,105.0
29.0,71.0,1.75,M,21.0975,74.06666666666666,10.0,33.45,161.0,5.0,16.566666666666666,119.0
66.0,61.0,1.72,M,21.0975,92.85,10.0,43.5,22.0,5.0,20.683333333333334,6.0
61.0,61.0,1.72,M,21.0975,86.25,10.0,40.583333333333336,90.0,5.0,19.75,153.0
59.0,61.0,1.72,M,21.0975,99.88333333333334,10.0,40.61666666666667,105.0,5.0,20.066666666666666,63.0
36.0,55.0,1.63,M,21.0975,72.43333333333334,10.0,32.516666666666666,168.0,5.0,15.616666666666667,175.0
33.0,55.0,1.63,M,21.0975,75.06666666666666,10.0,34.6,119.0,5.0,16.483333333333334,161.0
20.0,48.0,1.6,F,21.0975,118.0,10.0,53.46666666666667,133.0,5.0,24.45,147.0
53.0,53.0,1.65,F,21.0975,167.73333333333332,10.0,65.31666666666666,149.0,5.0,29.366666666666667,63.0
23.0,66.0,1.79,M,21.0975,73.63333333333334,10.0,33.3,175.0,5.0,16.2,49.0
25.0,65.0,1.77,M,21.0975,86.33333333333333,10.0,36.833333333333336,157.0,5.0,17.55,154.0
30.0,52.0,1.68,F,21.0975,84.56666666666666,10.0,37.733333333333334,119.0,5.0,16.1,91.0
42.0,65.0,1.72,M,21.0975,114.16666666666667,10.0,38.583333333333336,112.0,5.0,18.25,154.0
50.0,61.0,1.71,M,21.0975,79.66666666666667,10.0,33.31666666666667,35.0,5.0,16.516666666666666,98.0
49.0,61.0,1.71,M,21.0975,78.51666666666667,10.0,33.916666666666664,77.0,5.0,16.133333333333333,168.0
44.0,61.0,1.71,M,21.0975,79.65,10.0,35.6,115.0,5.0,17.533333333333335,129.0
36.0,66.0,1.78,M,21.0975,78.7,10.0,35.36666666666667,176.0,5.0,17.166666666666668,28.0
34.0,64.0,1.71,M,21.0975,89.26666666666667,10.0,34.25,105.0,5.0,15.666666666666666,29.0
33.0,64.0,1.71,M,21.0975,98.28333333333333,10.0,35.78333333333333,133.0,5.0,16.55,28.0
39.0,64.0,1.8,M,21.0975,70.53333333333333,10.0,33.18333333333333,85.0,5.0,15.683333333333334,106.0
43.0,45.0,1.56,F,21.0975,97.28333333333333,10.0,44.28333333333333,108.0,5.0,21.583333333333332,112.0
43.0,45.0,1.56,F,21.0975,96.13333333333334,10.0,43.88333333333333,91.0,5.0,21.366666666666667,161.0
