age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
30.0,65.0,1.82,M,42.195,153.18333333333334,21.0975,72.5,28.0,10.0,32.166666666666664,84.0
58.0,87.0,1.72,M,42.195,257.3833333333333,21.0975,112.93333333333334,35.0,10.0,52.5,133.0
57.0,70.0,1.76,M,42.195,166.05,21.0975,81.78333333333333,77.0,10.0,37.03333333333333,63.0
31.0,57.0,1.65,F,42.195,244.98333333333332,21.0975,111.98333333333333,14.0,10.0,51.68333333333333,63.0
74.0,62.0,1.78,M,42.195,232.86666666666667,21.0975,100.98333333333333,28.0,10.0,46.13333333333333,161.0
43.0,84.0,1.76,M,42.195,269.46666666666664,21.0975,93.55,28.0,10.0,42.15,98.0
42.0,84.0,1.76,M,42.195,204.46666666666667,21.0975,92.21666666666667,175.0,10.0,40.666666666666664,126.0
41.0,84.0,1.76,M,42.195,216.11666666666667,21.0975,95.1,21.0,10.0,41.81666666666667,147.0
45.0,56.0,1.72,M,42.195,198.66666666666666,21.0975,89.33333333333333,28.0,10.0,41.766666666666666,49.0
47.0,67.0,1.7,M,42.195,206.91666666666666,21.0975,101.03333333333333,42.0,10.0,45.18333333333333,176.0
36.0,67.0,1.8,M,42.195,139.3,21.0975,65.43333333333334,42.0,10.0,30.766666666666666,63.0
51.0,62.0,1.68,M,42.195,178.08333333333334,21.0975,86.3,42.0,10.0,38.766666666666666,154.0
31.0,76.0,1.82,M,42.195,237.6,21.0975,101.66666666666667,48.0,10.0,39.45,97.0
24.0,68.0,1.78,M,42.195,158.51666666666668,21.0975,76.05,36.0,10.0,33.38333333333333,147.0
34.0,62.0,1.7,M,42.195,145.9,21.0975,68.8,63.0,10.0,31.9,28.0
27.0,62.0,1.7,M,42.195,180.21666666666667,21.0975,82.48333333333333,35.0,10.0,35.166666666666664,49.0
56.0,44.0,1.55,F,42.195,202.88333333333333,21.0975,93.98333333333333,30.0,10.0,43.38333333333333,77.0
55.0,44.0,1.55,F,42.195,207.13333333333333,21.0975,94.58333333333333,171.0,10.0,43.766666666666666,147.0
54.0,44.0,1.55,F,42.195,214.5,21.0975,96.95,28.0,10.0,42.916666666666664,14.0
51.0,44.0,1.55,F,42.195,219.81666666666666,21.0975,106.1,148.0,10.0,45.05,105.0
50.0,44.0,1.55,F,42.195,205.48333333333332,21.0975,95.93333333333334,35.0,10.0,43.516666666666666,84.0
48.0,44.0,1.55,F,42.195,202.83333333333334,21.0975,96.0,35.0,10.0,44.266666666666666,49.0
47.0,44.0,1.55,F,42.195,206.26666666666668,21.0975,94.31666666666666,175.0,10.0,44.2,112.0
37.0,67.0,1.78,M,42.195,217.7,21.0975,95.13333333333334,29.0,10.0,41.85,161.0
42.0,66.0,1.7,M,42.195,204.81666666666666,21.0975,94.26666666666667,21.0,10.0,40.333333333333336,120.0
49.0,73.0,1.81,M,42.195,199.78333333333333,21.0975,84.31666666666666,21.0,10.0,39.483333333333334,49.0
30.0,64.0,1.84,M,42.195,155.73333333333332,21.0975,71.65,56.0,10.0,31.883333333333333,119.0
42.0,52.0,1.62,F,42.195,192.83333333333334,21.0975,91.56666666666666,28.0,10.0,40.63333333333333,175.0
39.0,52.0,1.62,F,42.195,201.66666666666666,21.0975,91.43333333333334,28.0,10.0,40.36666666666667,49.0
39.0,52.0,1.62,F,42.195,284.35,21.0975,89.58333333333333,34.0,10.0,41.18333333333333,62.0
36.0,56.0,1.76,M,42.195,182.46666666666667,21.0975,83.13333333333334,35.0,10.0,36.96666666666667,13.0
34.0,56.0,1.76,M,42.195,202.61666666666667,21.0975,93.11666666666666,42.0,10.0,37.583333333333336,84.0
32.0,56.0,1.76,M,42.195,229.73333333333332,21.0975,114.53333333333333,42.0,10.0,38.733333333333334,56.0
28.0,70.0,1.67,M,42.195,181.0,21.0975,81.86666666666666,20.0,10.0,37.13333333333333,120.0
27.0,70.0,1.67,M,42.195,174.13333333333333,21.0975,78.68333333333334,42.0,10.0,36.3,21.0
26.0,70.0,1.67,M,42.195,179.46666666666667,21.0975,81.4,22.0,10.0,36.31666666666667,49.0
26.0,70.0,1.67,M,42.195,213.5,21.0975,82.76666666666667,15.0,10.0,34.93333333333333,64.0
25.0,70.0,1.67,M,42.195,193.66666666666666,21.0975,81.25,7.0,10.0,36.21666666666667,21.0
33.0,72.0,1.79,M,42.195,204.98333333333332,21.0975,87.75,42.0,10.0,38.96666666666667,70.0
27.0,64.0,1.79,M,42.195,210.71666666666667,21.0975,83.98333333333333,161.0,10.0,37.666666666666664,14.0
47.0,68.0,1.8,M,42.195,192.81666666666666,21.0975,82.26666666666667,77.0,10.0,38.95,70.0
43.0,68.0,1.8,M,42.195,189.53333333333333,21.0975,84.85,57.0,10.0,39.516666666666666,70.0
25.0,67.0,1.82,M,42.195,158.36666666666667,21.0975,72.4,35.0,10.0,33.7,168.0
39.0,70.0,1.79,M,42.195,206.91666666666666,21.0975,92.36666666666666,34.0,10.0,39.85,161.0
47.0,62.0,1.8,M,42.195,152.03333333333333,21.0975,73.46666666666667,56.0,10.0,34.4,15.0
46.0,62.0,1.8,M,42.195,155.56666666666666,21.0975,73.88333333333334,77.0,10.0,32.7,56.0
45.0,62.0,1.8,M,42.195,163.35,21.0975,74.03333333333333,56.0,10.0,33.78333333333333,98.0
43.0,62.0,1.8,M,42.195,160.0,21.0975,77.11666666666666,92.0,10.0,34.833333333333336,42.0
41.0,62.0,1.8,M,42.195,173.21666666666667,21.0975,79.26666666666667,43.0,10.0,36.81666666666667,132.0
50.0,62.0,1.72,M,42.195,257.81666666666666,21.0975,80.81666666666666,70.0,10.0,35.81666666666667,42.0
50.0,62.0,1.72,M,42.195,410.9,21.0975,78.81666666666666,33.0,10.0,34.95,42.0
43.0,62.0,1.72,M,42.195,175.93333333333334,21.0975,80.55,27.0,10.0,35.55,56.0
42.0,62.0,1.72,M,42.195,185.13333333333333,21.0975,80.38333333333334,54.0,10.0,36.28333333333333,41.0
52.0,58.0,1.69,M,42.195,194.7,21.0975,88.48333333333333,42.0,10.0,39.6,49.0
51.0,58.0,1.69,M,42.195,195.58333333333334,21.0975,92.78333333333333,147.0,10.0,38.88333333333333,14.0
47.0,58.0,1.69,M,42.195,206.56666666666666,21.0975,97.66666666666667,63.0,10.0,41.03333333333333,29.0
32.0,67.0,1.76,M,42.195,167.23333333333332,21.0975,82.2,34.0,10.0,37.71666666666667,76.0
36.0,68.0,1.75,M,42.195,193.16666666666666,21.0975,86.53333333333333,56.0,10.0,37.916666666666664,35.0
35.0,68.0,1.75,M,42.195,190.66666666666666,21.0975,89.55,21.0,10.0,38.03333333333333,106.0
35.0,68.0,1.75,M,42.195,193.26666666666668,21.0975,89.46666666666667,76.0,10.0,39.3,48.0
54.0,58.0,1.65,M,42.195,186.08333333333334,21.0975,91.93333333333334,21.0,10.0,40.55,70.0
53.0,58.0,1.65,M,42.195,184.53333333333333,21.0975,89.6,50.0,10.0,40.4,71.0
52.0,58.0,1.65,M,42.195,188.51666666666668,21.0975,92.76666666666667,84.0,10.0,40.43333333333333,14.0
63.0,60.0,1.7,M,42.195,174.7,21.0975,78.36666666666666,70.0,10.0,37.1,119.0
60.0,60.0,1.7,M,42.195,168.35,21.0975,82.08333333333333,42.0,10.0,37.81666666666667,70.0
41.0,52.0,1.7,F,42.195,205.6,21.0975,91.96666666666667,49.0,10.0,42.95,84.0
37.0,74.0,1.81,M,42.195,218.35,21.0975,96.46666666666667,42.0,10.0,41.75,85.0
37.0,67.0,1.84,M,42.195,150.61666666666667,21.0975,70.71666666666667,175.0,10.0,32.11666666666667,119.0
34.0,67.0,1.84,M,42.195,165.36666666666667,21.0975,70.76666666666667,14.0,10.0,31.966666666666665,77.0
36.0,60.0,1.73,M,42.195,249.25,21.0975,106.98333333333333,28.0,10.0,48.31666666666667,84.0
41.0,85.0,1.73,M,42.195,228.73333333333332,21.0975,95.61666666666666,91.0,10.0,42.766666666666666,77.0
39.0,85.0,1.73,M,42.195,219.48333333333332,21.0975,89.03333333333333,28.0,10.0,38.8,105.0
38.0,85.0,1.73,M,42.195,231.1,21.0975,91.88333333333334,21.0,10.0,42.13333333333333,42.0
37.0,85.0,1.73,M,42.195,208.7,21.0975,90.88333333333334,21.0,10.0,39.38333333333333,7.0
36.0,85.0,1.73,M,42.195,220.4,21.0975,91.86666666666666,14.0,10.0,41.916666666666664,35.0
35.0,85.0,1.73,M,42.195,225.53333333333333,21.0975,92.36666666666666,56.0,10.0,40.983333333333334,16.0
40.0,86.0,1.86,M,42.195,356.8666666666667,21.0975,97.58333333333333,28.0,10.0,39.016666666666666,126.0
41.0,63.0,1.73,M,42.195,182.28333333333333,21.0975,83.63333333333334,21.0,10.0,37.96666666666667,49.0
39.0,63.0,1.73,M,42.195,179.76666666666668,21.0975,82.11666666666666,21.0,10.0,37.766666666666666,49.0
53.0,62.0,1.8,M,42.195,179.65,21.0975,83.76666666666667,21.0,10.0,37.2,49.0
51.0,75.0,1.78,M,42.195,249.83333333333334,21.0975,104.96666666666667,99.0,10.0,44.43333333333333,169.0
50.0,75.0,1.78,M,42.195,210.66666666666666,21.0975,94.76666666666667,49.0,10.0,41.833333333333336,77.0
45.0,75.0,1.78,M,42.195,227.73333333333332,21.0975,96.56666666666666,115.0,10.0,41.36666666666667,31.0
43.0,75.0,1.78,M,42.195,213.6,21.0975,91.05,7.0,10.0,41.916666666666664,77.0
41.0,75.0,1.78,M,42.195,229.1,21.0975,92.71666666666667,29.0,10.0,39.4,9.0
50.0,75.0,1.76,M,42.195,206.11666666666667,21.0975,95.9,43.0,10.0,40.416666666666664,91.0
50.0,75.0,1.76,M,42.195,214.68333333333334,21.0975,99.85,35.0,10.0,41.56666666666667,70.0
47.0,75.0,1.76,M,42.195,240.21666666666667,21.0975,88.23333333333333,175.0,10.0,41.53333333333333,56.0
46.0,75.0,1.76,M,42.195,219.21666666666667,21.0975,95.66666666666667,35.0,10.0,41.68333333333333,63.0
37.0,70.0,1.76,M,42.195,170.0,21.0975,80.05,168.0,10.0,33.55,133.0
34.0,70.0,1.76,M,42.195,168.03333333333333,21.0975,76.51666666666667,42.0,10.0,33.8,98.0
33.0,70.0,1.76,M,42.195,190.8,21.0975,78.86666666666666,36.0,10.0,31.75,105.0
54.0,64.0,1.82,M,42.195,194.88333333333333,21.0975,85.86666666666666,15.0,10.0,39.43333333333333,175.0
49.0,69.0,1.69,M,42.195,200.3,21.0975,94.88333333333334,42.0,10.0,42.61666666666667,148.0
48.0,69.0,1.69,M,42.195,184.23333333333332,21.0975,88.31666666666666,28.0,10.0,40.43333333333333,134.0
